date,home_team,score,away_team
25-07-2021,Desna,3 - 0,Chornomorets
31-07-2021,Chornomorets,0 - 3,Dnipro-1
06-08-2021,Metalist 1925 Kharkiv,3 - 2,Chornomorets
16-08-2021,FC Mariupol,2 - 3,Chornomorets
21-08-2021,Chornomorets,0 - 3,Shakhtar Donetsk
27-08-2021,Chornomorets,2 - 2,Oleksandria
12-09-2021,Minai,2 - 2,Chornomorets
19-09-2021,Zorya Luhansk,3 - 0,Chornomorets
27-09-2021,Chornomorets,1 - 1,Inhulets
02-10-2021,Kolos Kovalivka,2 - 1,Chornomorets
18-10-2021,Chornomorets,0 - 1,Veres Rivne
23-10-2021,Chornomorets,1 - 1,Lviv
01-11-2021,Vorskla Poltava,0 - 0,Chornomorets
06-11-2021,Chornomorets,4 - 3,Rukh Vynnyky
19-11-2021,Chornomorets,1 - 6,Dynamo Kyiv
27-11-2021,Chornomorets,0 - 1,Desna
06-12-2021,Dnipro-1,3 - 1,Chornomorets
12-12-2021,Chornomorets,2 - 1,Metalist 1925 Kharkiv
25-07-2021,Desna,3 - 0,Chornomorets
01-08-2021,FC Mariupol,1 - 2,Desna
09-08-2021,Desna,2 - 0,Inhulets
14-08-2021,Desna,2 - 1,Dnipro-1
22-08-2021,Dynamo Kyiv,4 - 0,Desna
29-08-2021,Desna,0 - 4,Veres Rivne
12-09-2021,Vorskla Poltava,2 - 2,Desna
17-09-2021,Desna,1 - 0,Rukh Vynnyky
26-09-2021,Desna,1 - 2,Metalist 1925 Kharkiv
03-10-2021,Zorya Luhansk,2 - 0,Desna
17-10-2021,Minai,0 - 0,Desna
22-10-2021,Desna,1 - 1,Oleksandria
30-10-2021,Shakhtar Donetsk,4 - 1,Desna
07-11-2021,Lviv,0 - 2,Desna
21-11-2021,Desna,0 - 1,Kolos Kovalivka
27-11-2021,Chornomorets,0 - 1,Desna
05-12-2021,Desna,3 - 3,FC Mariupol
10-12-2021,Inhulets,2 - 1,Desna
26-07-2021,Vorskla Poltava,2 - 2,Dnipro-1
31-07-2021,Chornomorets,0 - 3,Dnipro-1
07-08-2021,Dnipro-1,2 - 1,FC Mariupol
14-08-2021,Desna,2 - 1,Dnipro-1
21-08-2021,Dnipro-1,2 - 0,Rukh Vynnyky
28-08-2021,Metalist 1925 Kharkiv,1 - 2,Dnipro-1
11-09-2021,Shakhtar Donetsk,2 - 0,Dnipro-1
18-09-2021,Dnipro-1,1 - 0,Veres Rivne
26-09-2021,Dnipro-1,0 - 4,Zorya Luhansk
02-10-2021,Lviv,0 - 1,Dnipro-1
16-10-2021,Dnipro-1,2 - 0,Kolos Kovalivka
24-10-2021,Dynamo Kyiv,2 - 0,Dnipro-1
01-11-2021,Dnipro-1,4 - 0,Minai
07-11-2021,Inhulets,0 - 1,Dnipro-1
20-11-2021,Dnipro-1,3 - 1,Oleksandria
27-11-2021,Dnipro-1,5 - 1,Vorskla Poltava
06-12-2021,Dnipro-1,3 - 1,Chornomorets
10-12-2021,FC Mariupol,0 - 3,Dnipro-1
01-08-2021,Dynamo Kyiv,4 - 0,Veres Rivne
08-08-2021,Zorya Luhansk,1 - 2,Dynamo Kyiv
11-08-2021,Dynamo Kyiv,2 - 0,Minai
18-08-2021,Inhulets,1 - 1,Dynamo Kyiv
22-08-2021,Dynamo Kyiv,4 - 0,Desna
28-08-2021,Dynamo Kyiv,7 - 0,Kolos Kovalivka
11-09-2021,Metalist 1925 Kharkiv,0 - 2,Dynamo Kyiv
18-09-2021,Dynamo Kyiv,1 - 0,Oleksandria
25-09-2021,Rukh Vynnyky,0 - 2,Dynamo Kyiv
03-10-2021,Dynamo Kyiv,0 - 0,Shakhtar Donetsk
16-10-2021,Lviv,1 - 4,Dynamo Kyiv
24-10-2021,Dynamo Kyiv,2 - 0,Dnipro-1
